path,condition,age_group,source,strata
Derma AI Images/Cellulitis/Adult/cellulitis-adult-ear-visualdx.jpg,Cellulitis,Adult,cellulitis-adult-ear-visualdx.jpg,Cellulitis||Adult
Derma AI Images/Dermatitis/Child/Visualdx/dermatitis-child-ear-visualdx-1.jpg,Dermatitis,Child,Visualdx,Dermatitis||Child
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-foot-visualdx-3.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-foot-pcds-4.jpg,Cellulitis,Adult,cellulitis-adult-foot-pcds-4.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-face-visualdx-10.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-skin-visualdx.jpg,Cellulitis,Adult,cellulitis-adult-skin-visualdx.jpg,Cellulitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-hand-visualdx-2.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Dermatitis/Child/Visualdx/dermatitis-child-hand-visualdx-2.jpg,Dermatitis,Child,Visualdx,Dermatitis||Child
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-ankle-visualdx-23.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Cellulitis/Adult/celllulitis-adult-foot-flickr-4.jpg,Cellulitis,Adult,celllulitis-adult-foot-flickr-4.jpg,Cellulitis||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-arm-visualdx-12.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-skin-visualdx-28.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-chest-visualdx-4.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-skin-visualdx-12.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Scabies/Adult/DermAtlas/scabies-adult-hand-dermatlas-6.jpg,Scabies,Adult,DermAtlas,Scabies||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-cheek-visualdx-1.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-chest-visualdx-7.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-hand-visualdx-9.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-skin-visualdx-4.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-arm-visualdx-16.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-leg-visualdx-5.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-chest-visualdx-2.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Cellulitis/Adult/cellulitis-adult-arm-visualdx-1.jpg,Cellulitis,Adult,cellulitis-adult-arm-visualdx-1.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-hand-visualdx-1.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Dermatitis/Infant/Visualdx/dermatitis-infant-back-visualdx-2.jpg,Dermatitis,Infant,Visualdx,Dermatitis||Infant
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-scalp-visualdx-32.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-feet-visualdx-3.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-face-visualdx-42.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-skin-dermnz-4.jpg,Cellulitis,Adult,cellulitis-adult-skin-dermnz-4.jpg,Cellulitis||Adult
Derma AI Images/Scabies/Adult/Global Skin Atlas/scabies-adult-chest-gsa-1.jpg,Scabies,Adult,Global Skin Atlas,Scabies||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-finger-pcds.jpg,Cellulitis,Adult,cellulitis-adult-finger-pcds.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-skin-visualdx-8.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-skin-visualdx-10.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-chest-visualdx-1.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-arm-visualdx-2.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-cheek-visualdx-9.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-cheek-visualdx-41.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-face-visualdx-35.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-face-visualdx-27.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Adult/DermAtlas/eczema-adult-face-dermatlas-1.jpg,Eczema,Adult,DermAtlas,Eczema||Adult
Derma AI Images/Scabies/Adult/Global Skin Atlas/scabies-adult-hand-gsa-4.jpg,Scabies,Adult,Global Skin Atlas,Scabies||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-fingers-visualdx-3.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-cheek-visualdx-11.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-arm-visualdx-8.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-chest-visualdx-1.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Scabies/Infant/Visualdx/scabies-infant-wrist-visualdx-2.jpg,Scabies,Infant,Visualdx,Scabies||Infant
Derma AI Images/Dermatitis/Infant/Visualdx/dermatitis-infant-scalp-visualdx-11.jpg,Dermatitis,Infant,Visualdx,Dermatitis||Infant
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-foot-visualdx-5.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Scabies/Child/DermAtlas/scabies-child-chest-dermatlas-1.jpg,Scabies,Child,DermAtlas,Scabies||Child
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-arm-visualdx-17.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-knee-visualdx-6.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-arm-visualdx-5.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-hand-visualdx-58.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-scalp-visualdx-9.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Dermatitis/Infant/Visualdx/dermatitis-infant-face-back-visualdx.jpg,Dermatitis,Infant,Visualdx,Dermatitis||Infant
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-hand-visualdx-23.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-thigh-pcds-4 (SEVERE).jpg,Cellulitis,Adult,cellulitis-adult-thigh-pcds-4 (SEVERE).jpg,Cellulitis||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-face-visualdx-18.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-scalp-visualdx-11.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-arm-visualdx-15.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-hand-visualdx-2.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-toe-gsa-1.jpg,Cellulitis,Adult,cellulitis-adult-toe-gsa-1.jpg,Cellulitis||Adult
Derma AI Images/Scabies/Infant/Visualdx/scabies-infant-ear-visualdx-1.jpg,Scabies,Infant,Visualdx,Scabies||Infant
Derma AI Images/Eczema/Child/Visualdx/eczema-child-chest-visualdx-6.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Eczema/Child/Visualdx/eczema-child-buttock-visualdx-5.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Cellulitis/Adult/cellulitis-adult-eye-medscape-1.jpg,Cellulitis,Adult,cellulitis-adult-eye-medscape-1.jpg,Cellulitis||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-arm-body-visualdx.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-hand-visualdx-7.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Cellulitis/Adult/celllulitis-adult-foot-flickr-16.jpg,Cellulitis,Adult,celllulitis-adult-foot-flickr-16.jpg,Cellulitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-eye-visualdx-3.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-foot-visualdx-4.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-eye-visualdx-12.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-fingers-visualdx-4.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-face-visualdx-7.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Eczema/Child/DermAtlas/celllulitis-child-arm-dermatlas-1.jpg,Eczema,Child,DermAtlas,Eczema||Child
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-leg-visualdx-8.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-hand-visualdx-25.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-mouth-visualdx-6.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-knee-visualdx-3.jpg,Cellulitis,Adult,cellulitis-adult-knee-visualdx-3.jpg,Cellulitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-ear-visualdx-2.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-arm-visualdx-11.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-thigh-visualdx-4.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-leg-visualdx-1.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-thigh-visualdx-12.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-wrist-visualdx-8.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-leg-dermnz-8.jpg,Cellulitis,Adult,cellulitis-adult-leg-dermnz-8.jpg,Cellulitis||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-leg-dermatlas-1.jpg,Cellulitis,Adult,cellulitis-adult-leg-dermatlas-1.jpg,Cellulitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-neck-visualdx-11.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Dermatitis/Infant/Visualdx/dermatitis-infant-scalp-visualdx-2.jpg,Dermatitis,Infant,Visualdx,Dermatitis||Infant
Derma AI Images/Cellulitis/Adult/cellulitis-adult-scalp-dermnz-2.jpg,Cellulitis,Adult,cellulitis-adult-scalp-dermnz-2.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-hand-visualdx-5.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-arm-visualdx-11.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Dermatitis/Infant/Visualdx/dermatitis-infant-back-visualdx-5.jpg,Dermatitis,Infant,Visualdx,Dermatitis||Infant
Derma AI Images/Ringworm/Infant/Visualdx/ringworm-infant-face-visualdx-4.jpg,Ringworm,Infant,Visualdx,Ringworm||Infant
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-chest-visualdx-10.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Cellulitis/Adult/celllulitis-adult-leg-flickr-3.jpg,Cellulitis,Adult,celllulitis-adult-leg-flickr-3.jpg,Cellulitis||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-knee-visualdx-2.jpg,Cellulitis,Adult,cellulitis-adult-knee-visualdx-2.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-thigh-visualdx-14.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-ear-visualdx-3.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-scalp-dermnz-5.jpg,Cellulitis,Adult,cellulitis-adult-scalp-dermnz-5.jpg,Cellulitis||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-chest-visualdx-7.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Cellulitis/Infant/Visualdx/cellulitis-infant-eye-visualdx-2.jpg,Cellulitis,Infant,Visualdx,Cellulitis||Infant
Derma AI Images/Eczema/Child/Visualdx/eczema-child-leg-visualdx-11.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-skin-visualdx-5.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-neck-visualdx-10.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Scabies/Adult/DermIS/scabies-adult-hand-dermis-6.jpg,Scabies,Adult,DermIS,Scabies||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-eye-visualdx-1.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-hand-visualdx-32.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-face-dermnz-2.jpg,Cellulitis,Adult,cellulitis-adult-face-dermnz-2.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-buttock-visualdx-7.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Scabies/Adult/DermNetNZ/scabies-adult-face-dermnet-1.jpg,Scabies,Adult,DermNetNZ,Scabies||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-leg-visualdx-12.jpg,Cellulitis,Adult,cellulitis-adult-leg-visualdx-12.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-hand-visualdx-1.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Eczema/Child/Visualdx/eczema-child-buttock-visualdx-3.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Scabies/Infant/Visualdx/scabies-infant-foot-visualdx-5.jpg,Scabies,Infant,Visualdx,Scabies||Infant
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-leg-visualdx-5.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-hand-visualdx-1.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-hand-visualdx-54.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Dermatitis/Infant/Visualdx/dermatitis-infant-scalp-visualdx-6.jpg,Dermatitis,Infant,Visualdx,Dermatitis||Infant
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-leg-visualdx-5.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Scabies/Adult/Global Skin Atlas/scabies-adult-back-gsa-1.jpg,Scabies,Adult,Global Skin Atlas,Scabies||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-skin-visualdx-11.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-mouth-visualdx-9.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-knee-visualdx-2.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Cellulitis/Adult/celllulitis-adult-face-flickr.jpg,Cellulitis,Adult,celllulitis-adult-face-flickr.jpg,Cellulitis||Adult
Derma AI Images/Cellulitis/Adult/celllulitis-adult-foot-flickr-6.jpg,Cellulitis,Adult,celllulitis-adult-foot-flickr-6.jpg,Cellulitis||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-arm-visualdx-5.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-knee-visualdx-3.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-hand-visualdx-20.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-mouth-visualdx-11.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-hand-visualdx-34.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Scabies/Adult/Visualdx/scabies-adult-hand-visualdx-5.jpg,Scabies,Adult,Visualdx,Scabies||Adult
Derma AI Images/Scabies/Adult/Global Skin Atlas/scabies-adult-foot-gsa-1.jpg,Scabies,Adult,Global Skin Atlas,Scabies||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-neck-visualdx-3.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-leg-flickr-21.jpg,Cellulitis,Adult,cellulitis-adult-leg-flickr-21.jpg,Cellulitis||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-mouth-visualdx-6.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Cellulitis/Adult/celllulitis-adult-foot-flickr-1.jpg,Cellulitis,Adult,celllulitis-adult-foot-flickr-1.jpg,Cellulitis||Adult
Derma AI Images/Cellulitis/Adult/celllulitis-adult-foot-flickr-5.jpg,Cellulitis,Adult,celllulitis-adult-foot-flickr-5.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-thigh-visualdx-6.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-skin-visualdx-2.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Cellulitis/Adult/celllulitis-adult-foot-flickr-10.jpg,Cellulitis,Adult,celllulitis-adult-foot-flickr-10.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-foot-visualdx-7.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-buttocks-visualdx-6.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-eye-visualdx-25.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-eye-visualdx-4.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-chest-visualdx-3.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Cellulitis/Adult/cellulitis-adult-toe-visualdx-1.jpg,Cellulitis,Adult,cellulitis-adult-toe-visualdx-1.jpg,Cellulitis||Adult
Derma AI Images/Scabies/Adult/Global Skin Atlas/scabies-adult-hand-gsa-14.jpg,Scabies,Adult,Global Skin Atlas,Scabies||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-neck-visualdx-8.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-skin-visualdx-1.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Cellulitis/Adult/cellulitis-adult-skin-dermnz-6.jpg,Cellulitis,Adult,cellulitis-adult-skin-dermnz-6.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-ankle-visualdx-15.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-leg-visualdx-4.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-hand-visualdx-19.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-shoulder-visualdx-3.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Cellulitis/Adult/cellulitis-adult-foot-pcds-2.jpg,Cellulitis,Adult,cellulitis-adult-foot-pcds-2.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Infant/Visualdx/ringworm-infant-face-visualdx-2.jpg,Ringworm,Infant,Visualdx,Ringworm||Infant
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-hand-visualdx-15.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-face-visualdx-3.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-wrist-visualdx-3.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
